timestamp,pair,direction,action,success,order_types,leg1_symbol,leg1_fill_price,leg1_expected_price,leg1_slippage_pct,leg1_fee,leg1_order_type,leg2_symbol,leg2_fill_price,leg2_expected_price,leg2_slippage_pct,leg2_fee,leg2_order_type,total_slippage_pct,total_fees,size_usdt
2026-03-31T19:49:10.283723+03:00,LINK/LTC,SHORT,OPEN,True,lim(LTC)+mkt(LINK),LINKUSDT,8.772,8.802,0.3408,0.0217107,mkt,LTCUSDT,53.76,53.85,0.1671,0.0206976,lim,0.5079,0.042408,80.0
2026-03-31T21:36:05.843574+03:00,ETH/RIVER,SHORT,OPEN,True,lim(ETH)+mkt(RIVER),ETHUSDT,2100.25,2101.65,0.0666,0.01155138,lim,RIVERUSDT,17.427,17.695,1.5146,0.02108667,mkt,1.5812,0.032638,80.0
2026-03-31T21:52:07.631810+03:00,ETH/RIVER,SHORT,CLOSE,True,lim(ETH)+mkt(RIVER),ETHUSDT,2098.79,2098.62,0.0081,0.00419758,lim,RIVERUSDT,17.284,17.31,0.1502,0.02091364,mkt,0.1583,0.025111,0
2026-04-01T07:13:07.634569+03:00,LINK/LTC,SHORT,CLOSE,True,lim(LTC)+mkt(LINK),LINKUSDT,8.797,8.799,0.0227,0.02177258,mkt,LTCUSDT,54.04,54.05,0.0185,0.0208054,lim,0.0412,0.042578,0
2026-04-02T08:32:14.234366+03:00,LINK/LTC,LONG,OPEN,True,lim(LTC)+mkt(LINK),LINKUSDT,8.51,8.51,0.0,0.02199835,mkt,LTCUSDT,52.08,52.08,0.0,0.0200508,lim,0.0,0.042049,80.0
2026-04-02T14:32:22.029966+03:00,LINK/LTC,LONG,CLOSE,True,lim(LTC)+mkt(LINK),LINKUSDT,8.505,8.506,0.0118,0.02198543,mkt,LTCUSDT,51.66,51.62,0.0775,0.0072324,lim,0.0893,0.029218,0
2026-04-02T18:44:17.698593+03:00,LINK/TRUMP,SHORT,OPEN,True,lim(LINK)+mkt(TRUMP),LINKUSDT,8.575,8.539,0.4216,0.02169475,lim,TRUMPUSDT,2.825,2.804,0.7489,0.02190788,mkt,1.1705,0.043603,80.0
2026-04-02T20:37:02.327459+03:00,LIT/0G,SHORT,OPEN,True,lim(0G)+mkt(LIT),LITUSDT,0.9605,0.9627,0.2285,0.05499343,mkt,0GUSDT,0.5113,0.5112,0.0196,0.05497754,lim,0.2481,0.109971,200.0
2026-04-02T21:08:03.048208+03:00,LIT/0G,SHORT,CLOSE,True,lim(0G)+mkt(LIT),LITUSDT,0.9509,0.9503,0.0631,0.05444378,mkt,0GUSDT,0.5098,0.5098,0.0,0.05481625,lim,0.0631,0.10926,0
2026-04-02T22:45:13.656084+03:00,LINK/TRUMP,SHORT,CLOSE,True,lim(LINK)+mkt(TRUMP),LINKUSDT,8.581,8.579,0.0233,0.02170993,lim,TRUMPUSDT,2.825,2.822,0.1063,0.02190788,mkt,0.1296,0.043618,0
