#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
275,ADA/KAITO,SHORT,4h,3.9817,-0.4798088526348184,0.462775,0.46960763569009084,1.5,-1.1123,15.9,9.5,0.329,0.0026,True,⏰ В позиции 16ч = 1.7x HL. Если Z не вер,2026-03-25T01:42:47.727012+03:00,0.2664,0.3968,0.2725,0.4075
276,ADA/POL,SHORT,4h,1.9305,0.02468266767073926,2.013554,2.062980061848706,2.5,-0.1812,15.9,8.3,0.325,0.004,True,⏰ В позиции 16ч = 1.9x HL. Если Z не вер,2026-03-25T01:42:48.033638+03:00,0.2664,0.09559,0.2725,0.09699
277,ICP/ATOM,SHORT,4h,2.5256,4.65674483331269,0.867418,0.8716413023534434,0.5,-0.8375,15.9,5.7,0.095,0.0224,False,📉 Best Z (since entry): -0.58 → now +4.6,2026-03-25T01:42:48.327516+03:00,2.406,1.7865,2.419,1.7808
279,LTC/XMR,SHORT,4h,2.5702,-0.715827630553605,0.101213,0.09774309696640618,3.4,-0.9527,15.0,2.8,0.332,0.0033,True,📉 Best Z (since entry): -1.90 → now -0.7,2026-03-25T02:39:48.449336+03:00,56.24,341.94,56.56,340.6
280,XRP/TON,SHORT,4h,2.0129,-0.365236746454984,0.803592,0.8089405435650922,0.7,0.0535,15.0,6.1,0.254,0.0028,True,⏰ В позиции 15ч = 2.5x HL (6ч). Коинтегр,2026-03-25T02:39:48.779173+03:00,1.4119,1.321,1.4171,1.3405
284,GAS/AXS,LONG,4h,-1.9016,-0.6824153945268077,0.467257,0.46153637671225456,1.2,-0.7125,7.8,5.7,0.197,0.0075,True,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.71%. ,2026-03-25T09:51:51.604030+03:00,1.5947,1.1094,1.598,1.1252
286,ONDO/ATOM,SHORT,4h,1.8328,0.4378455634609996,0.120046,0.12203034258450779,1.7,-0.8789,6.8,6.1,0.191,0.0077,True,⏳ В позиции 7ч = 1.1x HL. Следите за Z.,2026-03-25T10:54:52.564069+03:00,0.2597,1.7919,0.2609,1.7808
288,DOGE/KAS,LONG,4h,-1.951,-1.0042280614082788,2.690291,2.4236284168201956,9.9,-0.8564,1.2,11.3,0.282,0.0018,True,,2026-03-25T16:27:39.564155+03:00,0.09712,0.03869,0.09724,0.03895
289,VIRTUAL/XPL,LONG,4h,-2.6611,1.007473279658489,4.196285,4.202967073765216,0.2,0.2896,1.2,7.7,0.239,0.0208,True,✅ OVERSHOOT (static Z) — фиксировать при,2026-03-25T16:27:40.350917+03:00,0.7404,0.10123,0.7522,0.10075
290,LINK/ZRO,SHORT,4h,2.11,0.7506617502664426,1.408576,1.3983440041406243,0.7,-0.1066,0.6,6.0,0.212,0.0027,True,,2026-03-25T17:06:39.642079+03:00,9.477,2.2102,9.407,2.2097
