#,Пара,Dir,TF,Основание,Entry_Z,Entry_HR,Stop_Z,Entry_Time,Entry_Price1,Entry_Price2,Current_Z,Current_HR,P&L_%,Hours_In,HL_hours,Price1_Now,Price2_Now,Hurst,Correlation,P-value,Z_Window,Exit_Signal,Exit_Urgency,Z_Toward_Zero,PnL_Z_Disagree,Quality_Warnings
272,UNI/IP,LONG,4h,🤖,-1.9376,2.427072,4.0,2026-03-24T20:12,3.556,0.6366,0.752,2.5365,-0.5615,13.8,5.6,3.638,0.6441,0.2637,0.3354,0.01315,10,⏰ В позиции 14ч = 2.5x HL (6ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас +0.75). Можно зафиксировать или подождать overshoot.,3,True,True,
274,DOT/TON,SHORT,4h,🤖,2.3723,0.820819,4.3723,2026-03-25T00:45,1.3878,1.3149,0.9445,0.8229,0.1934,9.3,9.5,1.3832,1.3269,0.2266,0.2794,0.012276,10,,0,True,False,
275,ADA/KAITO,SHORT,4h,🤖,3.9817,0.462775,5.9817,2026-03-25T01:42,0.2664,0.3968,2.1738,0.4634,-0.9678,8.3,9.5,0.2697,0.4003,0.3,0.3377,0.000938,10,📉 Best Z (since entry): -0.11 → now +2.17 (bounce ≥0.8). Z-trailing stop.,2,True,True,
276,ADA/POL,SHORT,4h,🤖,1.9305,2.013554,4.0,2026-03-25T01:42,0.2664,0.09559,1.1363,2.0097,-0.4476,8.3,8.4,0.2697,0.09611,0.3011,0.7092,0.003093,10,📉 Best Z (since entry): -0.19 → now +1.14 (bounce ≥0.8). Z-trailing stop.,2,True,False,
277,ICP/ATOM,SHORT,4h,🤖,2.5256,0.867418,4.5256,2026-03-25T01:42,2.406,1.7865,-1.1442,0.8577,0.444,8.3,5.6,2.371,1.789,0.1204,0.6365,0.049239,10,✅ OVERSHOOT (static Z) — фиксировать прибыль!,2,True,False,
279,LTC/XMR,SHORT,4h,🤖,2.5702,0.101213,4.5702,2026-03-25T02:39,56.24,341.94,-0.8455,0.0999,-0.8345,7.4,2.8,56.47,339.59,0.305,0.3301,0.005612,10,⏰ В позиции 7ч = 2.7x HL (3ч). Коинтеграция могла разрушиться. СРОЧНЫЙ ВЫХОД. | 🎯 Z пересёк 0 (сейчас -0.85). Можно зафиксировать или подождать overshoot.,3,True,True,
280,XRP/TON,SHORT,4h,🤖,2.0129,0.803592,4.0129,2026-03-25T02:39,1.4119,1.321,0.8298,0.8089,-0.4955,7.4,6.2,1.4194,1.3269,0.2569,0.3742,0.001857,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.50%. σ спреда выросла. Ждите реального возврата цен.,1,True,True,
283,VIRTUAL/IP,LONG,4h,🤖,-2.3115,0.6117,4.3115000000000006,2026-03-25T06:28,0.7219,0.647,-1.1114,0.6134,0.1311,3.6,8.1,0.7261,0.6441,0.2312,0.3211,0.006784,10,,0,True,False,
284,GAS/AXS,LONG,4h,🤖,-1.9016,0.467257,4.0,2026-03-25T09:51,1.5947,1.1094,-1.9379,0.4673,-0.4312,0.2,5.9,1.5935,1.1087,0.1991,0.332,0.001498,10,⚠️ ЛОЖНОЕ СХОЖДЕНИЕ: Z→0 но P&L=-0.43%. σ спреда выросла. Ждите реального возврата цен.,1,False,False,
285,ONDO/DUSK,SHORT,4h,🤖,2.0684,0.67611,4.0684000000000005,2026-03-25T09:51,0.2574,0.12036,2.5855,0.6757,-0.9144,0.2,10.9,0.2592,0.12007,0.2354,0.3359,0.003877,10,,0,False,False,
